ID_Cliente,Abandono,Genero,Adulto_Mayor,Pareja,Dependientes,Antiguedad_Meses,Servicio_Telefono,Lineas_Multiples,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Tipo_Contrato,Facturacion_Sin_Papel,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Cuentas_Diarias,Cantidad_Servicios
0002-ORFBO,0,0,0,1,1,0.125,1,0,1,0,1,0,1,1,0,1,1,1,0.47114427860696506,0.06629356104315716,2.19,3
0003-MKNFE,0,1,0,0,0,0.125,1,1,1,0,0,0,0,0,1,0,0,1,0.4144278606965174,0.060420032310177715,2.0,2
0004-TLHLJ,1,1,0,0,0,0.05555555555555555,1,0,2,0,0,1,0,0,0,0,1,0,0.5537313432835821,0.03023886452804062,2.46,1
0011-IGKFF,1,1,1,1,0,0.18055555555555555,1,0,2,0,1,1,0,1,1,0,1,0,0.7935323383084577,0.14067043618739902,3.27,4
0013-EXCHZ,1,0,1,1,0,0.041666666666666664,1,0,2,0,0,0,1,1,0,0,1,1,0.6532338308457711,0.028686822063235633,2.8,2
0013-MHZWF,0,0,0,0,1,0.125,1,0,1,0,0,0,1,1,1,0,1,3,0.5089552238805971,0.06377221324717287,2.31,3
0013-SMEOE,0,0,1,1,0,0.986111111111111,1,0,2,1,1,1,1,1,1,2,1,2,0.9099502487562189,0.9099296099699977,3.66,6
0014-BMAQU,0,1,0,1,0,0.875,1,1,2,1,0,0,1,0,0,2,1,3,0.6606965174129353,0.6183937225940457,2.82,3
0015-UOCOJ,0,0,1,0,0,0.09722222222222221,1,0,1,1,0,0,0,0,0,0,1,0,0.2980099502487562,0.03710477729056082,1.61,1
0016-QLJIS,0,0,0,1,1,0.9027777777777777,1,1,1,1,1,1,1,1,1,2,1,1,0.718407960199005,0.6853334871913224,3.02,7
0017-DINOC,0,1,0,0,0,0.75,0,0,1,1,0,0,1,1,0,2,0,3,0.2681592039800995,0.28176205861989384,1.51,3
0017-IUDMW,0,0,0,1,1,1.0,1,1,2,1,1,1,1,1,1,2,1,3,0.980597014925373,0.9736845141933995,3.89,7
0018-NYROU,0,0,0,1,0,0.06944444444444445,1,0,2,0,0,0,0,0,0,0,1,0,0.5044776119402985,0.03839141472420956,2.3,0
0019-EFAEP,0,0,0,0,0,1.0,1,1,2,1,1,1,0,1,0,2,1,2,0.8263681592039801,0.8357315947380568,3.38,5
0019-GFNTW,0,0,0,0,0,0.7777777777777777,0,0,1,1,1,1,1,0,0,2,0,2,0.2666666666666666,0.29324948072928686,1.5,4
0020-INWCK,0,0,0,1,1,0.986111111111111,1,1,2,0,1,1,0,0,1,2,1,3,0.7711442786069651,0.7882067851373182,3.19,4
0020-JDNXP,0,0,0,1,1,0.4722222222222222,0,0,1,1,0,1,1,1,1,1,0,1,0.4278606965174129,0.2278329102238634,2.04,5
0021-IKXGC,0,0,1,0,0,0.013888888888888888,1,1,2,0,0,0,0,0,0,0,1,0,0.535820895522388,0.0061504731133164075,2.4,1
0022-TCJCI,1,1,1,0,0,0.625,1,0,1,1,0,1,0,0,1,1,0,3,0.44228855721393034,0.319951534733441,2.09,3
0023-HGHWL,1,1,1,0,0,0.013888888888888888,0,0,1,0,0,0,0,0,0,0,1,0,0.0681592039800995,0.000726978998384491,0.84,0
0023-UYUPN,0,0,1,1,0,0.6944444444444444,1,1,0,0,0,0,0,0,0,1,0,0,0.06915422885572137,0.14856912070159242,0.84,1
0023-XUOPT,1,0,0,1,0,0.18055555555555555,1,1,2,0,1,1,0,1,0,0,0,0,0.7547263681592039,0.1381029309946919,3.14,4
0027-KWYKW,0,0,0,1,1,0.3194444444444444,1,1,2,0,0,0,0,1,0,0,1,0,0.6517412935323383,0.21130279252250175,2.79,2
0030-FNXPP,0,0,0,0,0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,1,0.015920398009950265,0.004431110085391184,0.66,0
0031-PVLZI,1,0,0,1,1,0.05555555555555555,1,0,0,0,0,0,0,0,0,0,0,1,0.020895522388059695,0.006640895453496423,0.68,0
0032-PGELS,1,0,0,1,1,0.013888888888888888,0,0,1,1,0,0,0,0,0,0,0,2,0.12189054726368159,0.001350103854142626,1.02,1
0036-IHMOT,0,0,0,1,1,0.7638888888888888,1,0,2,0,1,1,1,1,1,1,1,2,0.8502487562189055,0.6505827371336257,3.46,5
0040-HALCW,0,1,0,1,1,0.75,1,0,0,0,0,0,0,0,0,2,0,3,0.021393034825870627,0.12367874451880914,0.68,0
0042-JVWOJ,0,1,0,0,0,0.3611111111111111,1,0,0,0,0,0,0,0,0,1,1,2,0.013432835820895522,0.05227902146318948,0.65,0
0042-RLHYP,0,0,0,1,1,0.9583333333333333,1,0,0,0,0,0,0,0,0,2,0,2,0.014427860696517386,0.15902377105931229,0.66,0
0047-ZHDTW,0,0,0,0,0,0.15277777777777776,1,1,2,1,0,0,0,0,0,0,1,2,0.6044776119402985,0.10506577429033002,2.63,2
0048-LUMLS,0,1,0,1,1,0.5138888888888888,1,0,2,0,0,0,0,1,1,1,0,3,0.7258706467661692,0.3725767366720517,3.04,2
0048-PIHNL,0,0,0,1,0,0.6805555555555555,1,0,0,0,0,0,0,0,0,1,0,2,0.021890547263681587,0.10178859912300947,0.68,0
0052-DCKON,0,1,0,1,0,0.9166666666666666,1,1,2,1,1,1,1,1,1,1,0,2,0.9706467661691541,0.9143030233094853,3.86,7
0052-YNYOT,0,0,0,0,0,0.9305555555555555,1,0,0,0,0,0,0,0,0,1,0,0,0.02288557213930348,0.15285021924763445,0.68,0
0056-EPFBG,0,1,0,1,1,0.2777777777777778,0,0,1,1,0,1,1,0,0,2,1,3,0.2104477611940298,0.09307639049157627,1.31,3
0057-QBUQH,0,0,0,0,1,0.5972222222222222,1,1,0,0,0,0,0,0,0,2,1,0,0.0681592039800995,0.12131894761135474,0.84,1
0058-EVZWM,0,0,0,1,0,0.7638888888888888,1,1,2,1,0,0,0,1,0,0,1,2,0.7119402985074627,0.5701361643203324,2.99,3
0060-FUALY,0,0,0,1,0,0.8194444444444444,1,1,2,1,1,0,0,1,0,0,1,0,0.7611940298507462,0.6437629817678282,3.16,4
0064-SUDOG,0,0,0,1,1,0.16666666666666666,1,0,0,0,0,0,0,0,0,2,0,2,0.020398009950248763,0.02373644126471267,0.68,0
0064-YIJGF,0,1,0,1,1,0.375,1,1,2,0,0,0,0,0,0,0,1,2,0.572139303482587,0.22042464804985,2.52,1
0067-DKWBL,1,1,1,0,0,0.027777777777777776,1,0,1,1,0,0,0,0,0,0,1,0,0.30845771144278605,0.008342949457650586,1.64,1
0068-FIGTF,0,0,0,0,0,0.375,1,0,1,0,1,1,1,1,1,1,0,1,0.5965174129353233,0.23772790214631895,2.61,5
0071-NDAFP,0,1,0,1,1,0.3472222222222222,1,1,0,0,0,0,0,0,0,2,0,3,0.07213930348258707,0.0705977382875606,0.85,1
0074-HDKDG,0,1,0,1,1,0.3472222222222222,1,0,1,1,1,1,0,0,0,1,1,2,0.4313432835820895,0.18372951765520426,2.05,3
0076-LVEPS,0,1,0,0,1,0.40277777777777773,0,0,1,1,1,1,1,0,0,0,1,1,0.26616915422885573,0.14120124624971153,1.5,4
0078-XZMHT,0,1,0,1,0,1.0,1,1,1,0,1,1,1,1,1,2,1,2,0.6656716417910448,0.7266789753057927,2.84,6
0080-EMYVY,0,0,0,0,0,0.19444444444444442,1,0,1,0,1,0,0,0,0,1,0,3,0.33034825870646767,0.08181975536579737,1.72,1
0080-OROZO,0,0,0,0,0,0.4861111111111111,1,0,2,0,0,1,1,1,1,1,1,0,0.8059701492537313,0.4054004154165705,3.31,4
0082-LDZUE,0,1,0,0,0,0.013888888888888888,1,0,1,0,0,0,0,0,0,0,1,1,0.25920398009950246,0.002942534041080083,1.48,0
0082-OQIQY,0,1,0,0,0,0.40277777777777773,1,0,2,0,0,0,1,1,1,0,1,0,0.7557213930348259,0.2987306715901223,3.14,3
0083-PIVIK,0,1,0,0,0,0.8888888888888888,1,1,1,1,1,1,1,1,0,1,0,0,0.6268656716417911,0.6402896376644357,2.71,6
0089-IIQKO,0,0,0,1,1,0.5416666666666666,1,1,2,0,0,0,1,1,1,0,1,3,0.8129353233830846,0.4325640433879529,3.33,4
0093-EXYQL,0,0,1,0,0,0.5555555555555556,1,0,2,0,0,0,0,1,1,0,1,0,0.7293532338308457,0.4217401338564505,3.05,2
0093-XWZFY,1,1,0,0,0,0.5555555555555556,1,1,2,0,1,1,0,1,1,0,1,3,0.8582089552238806,0.46365681975536577,3.48,5
0094-OIFMO,1,0,1,0,0,0.15277777777777776,1,0,2,0,1,0,0,1,1,0,1,0,0.763681592039801,0.1271059312254789,3.17,3
0096-BXERS,0,0,0,1,0,0.08333333333333333,1,1,1,0,0,0,0,0,0,0,0,0,0.31940298507462683,0.03412762520193861,1.68,1
0096-FCPUF,0,1,0,0,0,0.41666666666666663,1,1,1,1,0,0,0,0,1,0,1,1,0.46019900497512434,0.21574544195707362,2.15,3
0098-BOWSO,0,1,0,0,0,0.375,1,0,0,0,0,0,0,0,0,0,1,0,0.011442786069651711,0.05896607431340872,0.65,0
0100-DUVFC,0,1,1,1,0,0.9722222222222222,1,1,2,0,1,1,0,1,1,1,1,0,0.8611940298507462,0.8412358642972536,3.49,5
0103-CSITQ,0,0,0,1,0,0.7916666666666666,1,1,2,0,1,1,1,1,1,1,1,2,0.9069651741293533,0.7193514885760443,3.65,6
0104-PPXDV,0,1,0,1,0,0.8055555555555555,1,0,1,0,0,1,0,0,0,1,0,3,0.3189054726368159,0.3299965381952458,1.68,1
0106-GHRQR,0,1,0,0,0,0.2222222222222222,1,1,1,0,1,1,0,0,1,0,1,2,0.5288557213930348,0.1376990537733672,2.38,4
0106-UGRDO,0,0,0,1,0,0.9583333333333333,1,1,2,1,1,1,1,1,1,2,1,0,0.9726368159203981,0.9420782367874453,3.87,7
0107-WESLM,1,1,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0,1,0,0.015920398009950265,0.00012116316639741503,0.66,0
0107-YHINA,1,1,0,0,1,0.013888888888888888,1,1,2,0,0,1,0,1,1,0,1,0,0.8109452736318408,0.009341103161781675,3.32,4
0111-KLBQG,0,1,1,1,1,0.4444444444444444,1,0,2,0,1,0,0,1,1,0,1,1,0.7532338308457711,0.32802330948534497,3.13,3
0112-QAWRZ,0,1,0,1,1,0.2222222222222222,1,1,2,0,0,1,0,1,0,0,1,2,0.7218905472636815,0.1642510962381722,3.03,3
0112-QWPNC,1,1,0,1,0,0.6805555555555555,1,1,1,1,0,1,1,1,1,1,0,0,0.6577114427860695,0.46625317332102467,2.81,6
0114-IGABW,0,0,0,1,0,0.986111111111111,0,0,1,0,1,1,1,1,1,2,0,2,0.3980099502487562,0.4762404800369259,1.94,5
0114-PEGZZ,0,0,0,0,0,0.4583333333333333,1,1,2,0,1,1,0,1,1,0,0,0,0.8885572139303483,0.41849757673667204,3.58,5
0114-RSRRW,0,0,0,1,0,0.1388888888888889,1,0,0,0,0,0,0,0,0,0,1,2,0.01691542288557213,0.01949573044080314,0.66,0
0115-TFERT,1,1,0,1,0,0.29166666666666663,1,1,2,0,1,1,1,1,1,0,1,0,0.9248756218905473,0.26520886222017076,3.71,6
0117-LFRMW,1,1,0,1,1,0.5138888888888888,0,0,1,1,1,1,0,0,0,0,0,2,0.218407960199005,0.1650126932840988,1.34,3
0118-JPNOY,0,0,1,0,0,0.3611111111111111,1,0,2,1,0,0,0,1,0,0,1,3,0.672139303482587,0.25096353565658897,2.86,2
0120-YZLQA,0,1,0,0,0,0.986111111111111,1,0,0,0,0,0,0,0,0,2,1,3,0.01641791044776117,0.15420032310177706,0.66,0
0121-SNYRK,0,1,0,0,0,0.6944444444444444,0,0,1,1,0,0,1,0,0,1,1,1,0.1706467661691542,0.19964228017539812,1.18,2
0122-OAHPZ,1,0,0,0,0,0.09722222222222221,1,1,2,0,0,0,0,0,0,0,1,0,0.553233830845771,0.05682552504038773,2.46,1
0123-CRBRT,0,0,0,1,1,0.8472222222222222,1,1,1,1,1,1,1,1,1,2,0,1,0.6950248756218904,0.6355815831987076,2.94,7
0125-LZQXK,1,1,0,0,0,0.20833333333333331,1,0,2,0,0,1,1,1,1,0,1,0,0.8268656716417909,0.17714631894761138,3.38,4
0128-MKWSG,0,0,0,0,1,0.3611111111111111,0,0,1,1,0,0,1,0,1,0,0,1,0.2741293532338308,0.13018693745672744,1.53,3
0129-KPTWJ,0,1,0,1,0,1.0,1,0,2,0,0,1,0,1,1,0,1,0,0.7601990049751244,0.7764308792984076,3.16,3
0129-QMPDR,0,1,0,1,1,0.611111111111111,1,0,0,0,0,0,0,0,0,1,1,2,0.02238805970149252,0.0976517424417263,0.68,0
0130-SXOUN,0,1,0,0,0,0.9166666666666666,1,1,2,0,1,0,0,0,1,0,0,3,0.7079601990049752,0.6875259635356565,2.98,3
0133-BMFZO,1,0,0,0,0,0.027777777777777776,1,0,2,1,1,0,1,0,0,0,1,0,0.6766169154228856,0.01879183014078006,2.88,3
0134-XWXCE,0,0,1,0,0,0.611111111111111,1,0,1,0,0,1,1,1,1,1,0,2,0.56318407960199,0.3749423032540965,2.49,4
0135-NMXAP,1,0,0,0,0,0.16666666666666666,1,1,2,0,1,0,0,1,0,0,1,2,0.7114427860696517,0.11927071313177938,2.99,3
0136-IFMYD,0,1,1,1,0,0.9583333333333333,1,1,2,0,1,1,1,1,1,2,1,0,0.9124378109452737,0.878773367182091,3.66,6
0137-OCGAB,1,0,0,0,0,0.013888888888888888,1,1,2,0,1,0,0,0,0,0,1,1,0.6164179104477612,0.0070851603969536115,2.67,2
0137-UDEUO,1,0,0,0,0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,1,0.015920398009950265,0.0051869374567274406,0.66,0
0139-IVFJG,0,0,0,1,0,0.027777777777777776,1,0,2,1,1,0,0,1,0,0,0,0,0.717412935323383,0.019813062543272558,3.01,3
0141-YEAYS,0,0,1,0,0,0.375,1,1,2,0,1,1,0,0,0,0,1,2,0.6786069651741293,0.27489614585737365,2.88,3
0142-GVYSN,0,1,0,0,0,0.3611111111111111,1,0,0,0,0,0,0,0,0,0,1,0,0.020398009950248763,0.05682552504038773,0.68,0
0147-ESWWR,0,0,1,1,0,0.5416666666666666,1,1,2,0,0,0,1,1,1,0,1,0,0.8258706467661691,0.45353681052388645,3.38,4
0148-DCDOS,1,1,0,0,0,0.3472222222222222,1,1,2,0,0,0,0,1,1,0,1,2,0.7606965174129353,0.27040156935148857,3.16,3
0151-ONTOV,1,0,0,0,0,0.013888888888888888,1,0,2,0,0,0,0,0,0,0,0,1,0.5238805970149254,0.006012000923147936,2.36,0
0154-QYHJU,0,1,0,0,0,0.40277777777777773,1,0,1,1,1,0,1,0,0,1,1,0,0.4029850746268656,0.19356104315716596,1.96,3
0156-FVPTA,1,1,0,1,0,0.3055555555555555,1,0,1,1,0,0,1,0,0,0,1,0,0.3577114427860697,0.13084468036002772,1.81,2
